,log_dir,frame_per_second,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,crash_sidewalk_rate,crash_vehicle_rate,idle_rate,speed_km_h,max_step_rate,success_rate,episode_reward,episode_length
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1713,0.0036298103778300665,-3.42257937452732,4471.02866015312,2235.5179567385944,145800.38276304587,157.08566284179688,0.9994642387597988,40000,30,0,23.34447193145752,0.0049,0.0,0.0,73.57232489249871,0.0,0.9333333333333333,21009.287709669323,1049.6333333333334
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1743,0.0043254062491588485,-3.318487104544273,7691.074888571715,3845.541763618665,209312.14330240886,121.22761535644531,1.000764361405984,80000,70,1,45.89060306549072,0.007066666666666666,0.0,3.3333333333333335e-05,71.28302824810402,0.0,0.9285714285714286,20793.565963907862,1050.9
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1786,0.0006360875930672941,-3.2258927738055205,7895.845796242738,3947.923541924892,226480.73759264825,104.3635025024414,0.9999530905332321,120000,109,2,67.18602395057678,0.018966666666666666,0.0,3.3333333333333335e-05,71.91833656321556,0.0,0.95,20884.449225503333,1055.88
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1809,0.00210975209901778,-3.21652830013862,9413.680823614659,4706.84252550174,222932.94805939504,86.04865264892578,0.9997097511704152,160000,148,3,88.4412260055542,0.0143,0.0,3.3333333333333335e-05,72.02302258537557,0.0,0.93,20857.146176990485,1058.61
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1829,0.0027237131094667486,-3.235379871191123,10164.35787087465,5082.181636282114,239948.5066794371,69.16498565673828,0.9991548034243095,200000,186,4,109.32685112953186,0.010366666666666666,0.0,3.3333333333333335e-05,72.18202771715583,0.0,0.94,20959.557114016978,1058.34
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1838,0.0025644573921827264,-3.2276413668424655,9639.028010480832,4819.516558916141,263216.5949575571,58.39582443237305,0.9999623657419131,240000,222,5,130.5474832057953,0.005566666666666667,0.0,0.0,73.28599942068765,0.0,0.97,21127.60825208445,1056.25
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1843,0.0015178309897563827,-3.3214326694989817,10629.812385519957,5314.907688825559,281509.31197666266,46.75681686401367,0.9986294173277341,280000,259,6,151.91180205345154,0.0085,0.0,6.666666666666667e-05,72.76033749590819,0.0,0.97,21078.37596486562,1052.01
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1830,0.0028758853402299184,-3.3334940436558846,12264.471728828627,6132.238738192044,281151.26615960535,37.657657623291016,0.9995511362567926,320000,299,7,174.8550980091095,0.0171,0.0,6.666666666666667e-05,72.24699202759822,0.0,0.96,20956.08514564412,1046.95
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1825,0.0023832020754269204,-3.3720366331247185,12420.604573411209,6210.304668798202,304654.17353891226,32.54429244995117,1.0001175720722248,360000,338,8,197.26013684272766,0.0097,0.0,6.666666666666667e-05,72.82595646657444,0.0,0.94,20864.517479539496,1043.98
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1821,0.0030393464407191062,-3.3456889395530407,13086.574403107472,6543.290243608523,293086.80588441505,24.24599838256836,1.000750165260755,400000,377,9,219.65492296218872,0.0104,0.0,3.3333333333333335e-05,72.33340835291156,0.0,0.96,21010.23243085261,1048.28
10,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1830,0.0034096529690148787,-3.449838269368196,11577.918889598357,5788.962865467561,277798.72264372994,20.584627151489258,1.0007106529596523,440000,413,10,240.43487405776978,0.004733333333333333,0.0,0.0,73.61430835988239,0.0,0.97,21117.985458183262,1050.21
11,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1832,0.0020733700218932847,-3.4260763148466746,12040.799505067484,6020.401818808531,315892.30407401844,16.057907104492188,1.0001111826453453,480000,450,11,262.007963180542,0.0047666666666666664,0.0,0.0,73.27010813933296,0.0,0.99,21210.6973279784,1051.67
12,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1832,0.003471814399623933,-3.521792670396658,12187.652175981571,6093.829545475886,301061.80260667065,7.372857093811035,0.9995049836925971,520000,489,12,283.7699840068817,0.0044666666666666665,0.0,0.0,73.63157502389133,0.0,0.99,21233.057309935684,1050.26
13,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1832,0.0025382967268785415,-3.5875125009279984,13305.372455146986,6652.688759045724,301052.59931390226,6.500101089477539,0.9996788505178231,560000,529,13,305.6143379211426,0.008533333333333334,0.0,3.3333333333333335e-05,73.10502483740675,0.0,0.98,21187.40907851904,1048.51
14,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1821,0.0021695446179924496,-3.5451980948448183,13310.329936022636,6655.167158625676,294847.0076071715,5.474440097808838,1.0000974840078598,600000,567,14,329.3243889808655,0.008966666666666666,0.0,6.666666666666667e-05,72.99383797301657,0.0,0.97,21137.23534060856,1045.39
15,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1813,0.0034880512567141498,-3.535206219019034,13329.684715231871,6664.845852622007,306932.0631159856,8.282428741455078,0.9950630570451419,640000,604,15,352.9702179431915,0.009366666666666667,0.0,3.3333333333333335e-05,73.29082955266188,0.0,0.96,21037.289273182218,1043.46
16,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1812,0.0031897434315536744,-3.513531870719714,13240.831276292067,6620.418829893454,312861.7543982873,13.444725036621094,0.9994600966572762,680000,641,16,375.26793098449707,0.004333333333333333,0.0,0.0,73.55110925983917,0.0,0.97,21085.598073155255,1044.14
17,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1806,0.0013035321917134121,-3.4987223093326274,13929.03602701823,6964.519308080428,335989.8510541867,9.005046844482422,0.9969645243806716,720000,680,17,398.61099791526794,0.010833333333333334,0.0,3.3333333333333335e-05,72.70604055729568,0.0,0.97,21070.24224273306,1047.56
18,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1806,0.0016804342445445796,-3.455572985074459,11889.147258582481,5944.575322156074,292739.8599909856,9.336536407470703,0.9995458850493798,760000,720,18,420.73161482810974,0.0051,0.0,6.666666666666667e-05,72.59834655356136,0.0,0.96,21098.505098869442,1048.39
19,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1798,0.002703755169820327,-3.426785323405877,13020.041125644782,6510.023264254057,321065.6045773237,3.5707430839538574,0.9994203307689764,800000,758,19,444.86360001564026,0.0082,0.0,3.3333333333333335e-05,72.7025597599464,0.0,0.97,21148.2191326458,1050.76
20,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1792,0.003512957327079792,-3.384244652130665,13691.846744791666,6845.926890876965,316095.8989408053,0.5530672073364258,0.9959221755082791,840000,795,20,468.50626707077026,0.013333333333333334,0.0,0.0001,72.89129857605039,0.0,0.95,20998.22288181468,1045.65
21,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1781,0.002663317613172321,-3.420021126514826,12659.214817770933,6329.610092006586,329481.66393980366,0.6218985319137573,1.000372118751208,880000,833,21,493.8416979312897,0.004933333333333333,0.0,3.3333333333333335e-05,73.03101216667979,0.0,0.95,20987.712753280393,1046.05
22,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1771,0.0030613256151226756,-3.422893151258811,12317.433854401417,6158.720001533704,318582.89738957334,-1.0884817838668823,1.00059212461496,920000,872,22,519.2750749588013,0.005,0.0,0.0,73.06596822130432,0.0,0.97,21080.72675057414,1045.99
23,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1773,0.002307879980593824,-3.405025957333736,12588.62481665978,6294.314684432592,326333.2832406851,0.2832605838775635,0.9997415131865404,960000,910,23,541.3117191791534,0.004533333333333334,0.0,0.0,73.29106724027046,0.0,0.99,21227.206977936137,1050.96
24,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1765,0.003824999905937614,-3.3207941840856505,12356.634340961164,6178.321010609162,322661.3185634515,-2.1035656929016113,0.9992387275283153,1000000,948,24,566.2638430595398,0.004333333333333333,0.0,3.3333333333333335e-05,73.0390306746566,0.0,0.99,21231.776976361743,1050.25
25,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1759,0.0008945320861246914,-3.381687172101094,12702.210956201798,6351.106368040427,311898.1947340745,-6.924428939819336,0.9966169244203812,1040000,986,25,591.1237471103668,0.008766666666666667,0.0,3.3333333333333335e-05,73.29730376869917,0.0,0.98,21134.158704815003,1046.63
26,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/ppo_agent_v2_enhanced2/ppo,1744,0.0020682601373827754,-3.390471536685259,14017.230056371443,7008.617096025516,334010.3934645433,-4.19705867767334,1.0004041920105615,1080000,1026,26,619.0109040737152,0.008833333333333334,0.0,3.3333333333333335e-05,72.96491627532782,0.0,0.98,21071.840364980082,1045.31
