,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate,current_q1,current_q2,reward
0,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,1358,-3667.402060508728,2999,1,2.207106113433838,,,,0.0,,,
1,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,1276,-3244.541476249695,5999,2,4.700368165969849,,,,0.0,,,
2,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,1283,-3753.4896268844604,8999,3,7.013244867324829,,,,0.0,,,
3,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,480,-18561.836335897446,11999,4,24.9579598903656,-14.258949279785156,12.848769187927246,505.91192626953125,0.0,-13.015260696411133,-11.7626314163208,-5.654611587524414
4,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,294,-19589.087154006957,14999,5,50.97784614562988,-48.431304931640625,45.83854675292969,658.0047607421875,0.0,-46.50441360473633,-46.29141616821289,-7.806245803833008
5,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,232,-23623.61647764842,17999,6,77.39382410049438,-89.25811004638672,84.00862884521484,912.640869140625,0.0,-85.577392578125,-85.35577392578125,-11.517555236816406
6,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,223,-24184.179108347213,18569,7,83.04827499389648,-93.32056427001953,92.87142181396484,661.743408203125,0.0,-94.10637664794922,-94.00392150878906,-8.002546310424805
7,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,209,-20923.202822208405,19425,10,92.72659921646118,-112.32891845703125,110.69708251953125,959.7389526367188,0.0,-111.15216064453125,-111.11775207519531,-11.321525573730469
8,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,181,-20990.605738199672,22814,13,125.79824304580688,-183.709228515625,,785.8017578125,0.0,-184.12571716308594,-183.87417602539062,-11.518355369567871
9,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,167,-21266.086374759674,25814,14,154.18942213058472,-236.83255004882812,,681.854736328125,0.0,-238.27821350097656,-238.3960418701172,-9.761847496032715
10,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,158,-24521.642053349813,28814,15,181.2494411468506,-297.8323059082031,,988.674072265625,0.0,-299.34405517578125,-299.32366943359375,-12.49549388885498
11,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,152,-26095.311985969543,31814,16,208.24268412590027,-337.9600524902344,,1131.549072265625,0.0,-339.0955505371094,-339.1651916503906,-11.518978118896484
12,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,147,-25330.732165448804,34814,17,236.08018398284912,-350.2769775390625,,707.9608154296875,0.0,-349.4831848144531,-349.6225891113281,-13.278182983398438
13,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,144,-26192.830428494348,37814,18,262.0605471134186,-346.515625,,733.6162109375,0.0,-347.81561279296875,-347.7384338378906,-12.300283432006836
14,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,140,-25298.46383129923,40814,19,290.64835000038147,-363.97930908203125,,698.0906982421875,0.0,-365.53680419921875,-365.5341491699219,-10.738357543945312
15,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,137,-25913.4560213089,43814,20,318.524197101593,-367.1543884277344,,782.5853271484375,0.0,-364.22613525390625,-364.2315673828125,-13.082792282104492
16,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,135,-26555.595826648532,46814,21,344.76957416534424,-415.8893127441406,,827.083251953125,0.0,-415.23529052734375,-415.0888671875,-11.715666770935059
17,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,133,-27000.717168114403,49814,22,372.5458459854126,-469.633544921875,,851.3104858398438,0.0,-467.10302734375,-467.17864990234375,-14.450606346130371
18,/Users/cjpark/Desktop/ucla_courses/cs260r/assignment4/data/td3_agent_single_decreased_lr/td3,132,-27657.156424480934,52814,23,400.0269310474396,-545.1558837890625,,901.81689453125,0.0,-543.1829833984375,-543.143310546875,-14.4505033493042
