,log_dir,frame_per_second,episode_reward,policy_loss,entropy,value_loss,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1763,8.364732731709191,-0.008802062344068709,2.793453090924483,0.08218910121478332,0.07338703907071016,1.0463084852084135,0.18437273800373077,0.9998978445927302,20000,16,0,11.341019868850708,0.0
1,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1711,9.056691112757353,-0.005835708151929654,2.74126223111764,0.20347724492924335,0.19764153702238288,1.1711172977510171,0.1943502575159073,0.9997895626685558,40000,46,1,23.365447998046875,0.0
2,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1695,11.712036477753678,-0.01084612345096106,2.6538117555471565,0.1927316540422348,0.18188553102618943,1.5230237885545461,0.29878804087638855,1.0024837580246804,60000,71,2,35.3862841129303,0.0
3,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1714,13.884999141802059,-0.009871459582474275,2.6228666177162756,0.36505083075891703,0.35517937213731693,1.8010195704988945,0.3742280900478363,1.0002586107987623,80000,101,3,46.67341899871826,0.0
4,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1704,17.694970628728242,-0.008476196160802665,2.5641874701548844,0.8939868207734365,0.8855106236508642,2.6500180327739473,0.43652158975601196,1.0000230862544133,100000,149,4,58.65693283081055,0.0
5,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1684,18.720801009678873,-0.007084670657805429,2.489767896823394,1.2981487622627845,1.291064091790945,3.4204846405065976,0.6188145875930786,0.9993547410537035,120000,207,5,71.24875402450562,0.0
6,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1669,16.594686675224793,-0.008098507188379955,2.3910730640093485,2.3088218765381057,2.300723369152118,7.525993864964216,0.7165493369102478,0.9992729589725152,140000,299,6,83.87318706512451,0.0
7,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1643,27.054152518123434,-0.009281837362467717,2.29837374320397,4.116929765236684,4.107647941662715,13.673891552442159,1.3829783201217651,0.9990715276736479,160000,402,7,97.32689785957336,0.0
8,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1626,32.436707063663825,-0.006320914536571273,2.1569923911339197,9.024228679828155,9.017907806543203,19.47097954994593,1.9257577657699585,0.9993254387990023,180000,528,8,110.67693996429443,0.0
9,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1604,21.570378336770492,-0.008301960219008227,2.0987370469631292,15.86868397517082,15.860382026281112,22.138085744931146,1.2097818851470947,0.9995655985214771,200000,713,9,124.6345419883728,0.0
10,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1600,41.71283341591229,-0.0067964252580005,2.04708263308574,16.034426125501977,16.027629728806325,33.86317585187081,2.3811981678009033,0.9998001234653668,220000,855,10,137.42962002754211,0.0
11,/Users/cjpark/Desktop/ucla_courses/CS260R/assignment3/MetaDrive-Tut-Hard-v0/ppo,1594,54.08921750534935,-0.006785520121682053,2.0205003260037837,18.45458809167911,18.447802549753433,52.44348037793086,2.724863290786743,0.9998702798134241,240000,973,11,150.4941599369049,0.0
