,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q,current_q1,current_q2,reward
0,Pendulum-v1,104,-1177.51508909394,1199,6,11.448665380477905,7.828395843505859,0.5546778440475464,-8.03693962097168,-8.033889770507812,-8.047120094299316,-5.767873287200928
1,Pendulum-v1,70,-1323.307406708077,2199,11,31.289196014404297,23.243305206298828,2.3005621433258057,-23.227798461914062,-23.283796310424805,-23.34255027770996,-6.849687099456787
2,Pendulum-v1,63,-1359.483368222659,3199,16,50.14781165122986,35.71502685546875,13.546152114868164,-36.769866943359375,-35.95657730102539,-35.91566467285156,-6.512232303619385
3,Pendulum-v1,57,-1348.3328367342197,4199,21,72.9602222442627,51.60506820678711,1.518566608428955,-52.685394287109375,-52.185672760009766,-52.108551025390625,-6.601073265075684
4,Pendulum-v1,56,-1296.1804954658905,5199,26,92.62413692474365,62.08879089355469,28.639972686767578,-63.78342056274414,-63.22771453857422,-63.1744270324707,-6.171581745147705
5,Pendulum-v1,55,-1200.962622338416,6199,31,112.68352055549622,69.73291015625,102.410400390625,-70.87897491455078,-71.04669189453125,-71.01040649414062,-6.1875505447387695
6,Pendulum-v1,54,-1140.7670878345043,7199,36,131.9537582397461,76.81951904296875,168.5390625,-77.4721908569336,-77.84722900390625,-77.98706817626953,-5.731478691101074
7,Pendulum-v1,53,-1056.6019185523014,8199,41,152.70252656936646,78.90099334716797,17.85698699951172,-79.88719177246094,-79.83946228027344,-79.89081573486328,-5.436366081237793
8,Pendulum-v1,53,-969.3909798153978,9199,46,172.03040432929993,83.22100830078125,176.92562866210938,-84.72252655029297,-85.47144317626953,-85.24274444580078,-5.085912704467773
9,Pendulum-v1,52,-886.5393931703965,10199,51,192.44774508476257,79.10558319091797,18.43627166748047,-82.19551086425781,-79.9909439086914,-80.14859008789062,-4.4584150314331055
10,Pendulum-v1,52,-822.83603159088,11199,56,213.19306206703186,75.66856384277344,6.967709541320801,-77.15777587890625,-76.67632293701172,-76.63482666015625,-4.146283149719238
11,Pendulum-v1,52,-772.0463073051696,12199,61,233.73338890075684,77.31307220458984,10.079025268554688,-78.4200668334961,-78.89552307128906,-78.71703338623047,-4.119853973388672
12,Pendulum-v1,52,-728.6036833578501,13199,66,253.78264451026917,67.74006652832031,115.9677734375,-69.21067810058594,-69.34840393066406,-69.47492218017578,-3.323512315750122
13,Pendulum-v1,51,-687.6440818156169,14199,71,273.21533489227295,67.3719711303711,46.86962127685547,-68.13472747802734,-69.45829010009766,-68.97579956054688,-3.0956497192382812
14,Pendulum-v1,51,-658.2441811549922,15199,76,292.80134677886963,75.14534759521484,16.796188354492188,-77.89360046386719,-76.26853942871094,-76.81082916259766,-3.5956246852874756
15,Pendulum-v1,51,-626.8653591425272,16199,81,312.32647728919983,61.191307067871094,29.206043243408203,-64.02186584472656,-62.37022018432617,-62.58951187133789,-2.8248345851898193
16,Pendulum-v1,51,-597.5169993802425,17199,86,332.1295356750488,66.98302459716797,494.3719787597656,-67.86331939697266,-69.23542022705078,-69.14738464355469,-2.921677350997925
17,Pendulum-v1,51,-572.8394954793077,18199,91,351.9126646518707,70.80303955078125,10.783251762390137,-72.59161376953125,-73.0635757446289,-72.67866516113281,-3.1144070625305176
